Source,Target,Type,Id,Label,timeset,Weight,action
157,105,Directed,6616,text_reply,,1,text_reply
280,220,Directed,6620,text_reply,,3,text_reply
306,306,Directed,6621,text_reply,,1,text_reply
118,105,Directed,6622,text_reply,,18,text_reply
320,56,Directed,6623,text_reply,,4,text_reply
56,320,Directed,6624,text_reply,,2,text_reply
220,280,Directed,6626,text_reply,,4,text_reply
259,120,Directed,6629,invite_members,,1,invite_members
300,89,Directed,6630,invite_members,,1,invite_members
111,89,Directed,6631,text_reply,,2,text_reply
89,35,Directed,6632,text_reply,,2,text_reply
35,89,Directed,6633,text_reply,,1,text_reply
282,89,Directed,6634,text_reply,,2,text_reply
89,220,Directed,6635,text_reply,,2,text_reply
35,70,Directed,6636,text_reply,,1,text_reply
294,89,Directed,6637,text_reply,,1,text_reply
134,320,Directed,6638,text_reply,,1,text_reply
320,134,Directed,6640,text_reply,,1,text_reply
118,89,Directed,6642,text_reply,,12,text_reply
118,282,Directed,6644,text_reply,,10,text_reply
282,118,Directed,6646,text_reply,,10,text_reply
296,257,Directed,6647,text_reply,,6,text_reply
320,5,Directed,6648,text_reply,,1,text_reply
320,101,Directed,6653,text_reply,,1,text_reply
70,283,Directed,6656,invite_members,,1,invite_members
320,316,Directed,6657,text_reply,,1,text_reply
7,191,Directed,6659,text_reply,,1,text_reply
118,220,Directed,6660,text_reply,,3,text_reply
288,118,Directed,6661,text_reply,,1,text_reply
118,288,Directed,6662,text_reply,,1,text_reply
5,7,Directed,6663,text_reply,,1,text_reply
288,227,Directed,6664,text_reply,,1,text_reply
254,227,Directed,6665,text_reply,,1,text_reply
295,227,Directed,6666,text_reply,,1,text_reply
296,118,Directed,6667,text_reply,,19,text_reply
136,314,Directed,6672,text_reply,,1,text_reply
139,165,Directed,6674,text_reply,,1,text_reply
118,165,Directed,6675,text_reply,,2,text_reply
165,139,Directed,6677,text_reply,,1,text_reply
11,165,Directed,6678,text_reply,,1,text_reply
107,9,Directed,6679,text_reply,,6,text_reply
56,9,Directed,6680,text_reply,,1,text_reply
139,9,Directed,6682,text_reply,,8,text_reply
9,150,Directed,6684,text_reply,,1,text_reply
142,198,Directed,6685,text_reply,,1,text_reply
198,142,Directed,6686,text_reply,,1,text_reply
56,198,Directed,6687,text_reply,,1,text_reply
302,9,Directed,6689,text_reply,,1,text_reply
96,201,Directed,6691,text_reply,,1,text_reply
201,57,Directed,6692,text_reply,,1,text_reply
201,96,Directed,6693,text_reply,,2,text_reply
198,282,Directed,6694,text_reply,,1,text_reply
296,169,Directed,6695,text_reply,,1,text_reply
156,101,Directed,6697,text_reply,,3,text_reply
139,169,Directed,6699,text_reply,,1,text_reply
156,198,Directed,6702,text_reply,,1,text_reply
93,156,Directed,6703,text_reply,,1,text_reply
156,93,Directed,6704,text_reply,,2,text_reply
296,198,Directed,6705,text_reply,,1,text_reply
156,9,Directed,6706,text_reply,,15,text_reply
139,156,Directed,6707,text_reply,,23,text_reply
156,124,Directed,6708,text_reply,,4,text_reply
124,156,Directed,6709,text_reply,,2,text_reply
140,9,Directed,6710,text_reply,,1,text_reply
278,126,Directed,6711,text_reply,,2,text_reply
104,126,Directed,6712,text_reply,,1,text_reply
156,0,Directed,6713,text_reply,,1,text_reply
118,35,Directed,6714,text_reply,,2,text_reply
139,139,Directed,6716,text_reply,,31,text_reply
156,139,Directed,6717,text_reply,,19,text_reply
257,156,Directed,6718,text_reply,,1,text_reply
35,118,Directed,6719,text_reply,,1,text_reply
35,139,Directed,6720,text_reply,,2,text_reply
257,139,Directed,6721,text_reply,,3,text_reply
139,35,Directed,6724,text_reply,,2,text_reply
296,156,Directed,6725,text_reply,,24,text_reply
139,296,Directed,6726,text_reply,,7,text_reply
156,296,Directed,6727,text_reply,,35,text_reply
156,257,Directed,6729,text_reply,,10,text_reply
139,104,Directed,6730,text_reply,,1,text_reply
104,139,Directed,6731,text_reply,,1,text_reply
257,104,Directed,6732,text_reply,,1,text_reply
257,89,Directed,6733,text_reply,,2,text_reply
89,9,Directed,6734,text_reply,,13,text_reply
89,257,Directed,6735,text_reply,,1,text_reply
156,118,Directed,6739,text_reply,,50,text_reply
118,156,Directed,6740,text_reply,,32,text_reply
220,9,Directed,6741,text_reply,,3,text_reply
139,159,Directed,6742,text_reply,,1,text_reply
35,191,Directed,6743,text_reply,,1,text_reply
191,35,Directed,6747,text_reply,,1,text_reply
156,65,Directed,6748,text_reply,,3,text_reply
118,126,Directed,6749,text_reply,,23,text_reply
251,188,Directed,6750,text_reply,,6,text_reply
251,65,Directed,6751,text_reply,,2,text_reply
78,215,Directed,6752,text_reply,,1,text_reply
215,257,Directed,6753,text_reply,,2,text_reply
